ip.src,ip.dst,tcp.srcport
192.168.18.4,192.168.18.1,56914
192.168.18.4,192.168.18.1,61482
192.168.18.4,192.168.18.1,52810
192.168.18.4,192.168.18.1,62026
192.168.18.4,192.168.18.1,63258
192.168.18.4,172.64.151.110,64445
192.168.18.4,192.168.18.1,51524
192.168.18.4,192.168.18.1,55235
192.168.18.4,172.66.0.227,52341
192.168.18.4,192.168.18.1,64124
192.168.18.4,192.168.18.1,60810
192.168.18.4,172.66.0.227,59578
192.168.18.4,192.168.18.1,59396
192.168.18.4,192.168.18.1,52020
192.168.18.4,192.168.18.1,64939
192.168.18.4,192.168.18.1,55099
192.168.18.4,192.168.18.1,62106
192.168.18.4,192.168.18.1,57930
192.168.18.4,13.107.5.93,62443
192.168.18.4,13.107.5.93,62444
192.168.18.4,192.168.18.1,58079
192.168.18.4,192.168.18.1,56584
192.168.18.4,172.64.149.20,56586
192.168.18.4,192.168.18.1,61641
192.168.18.4,192.168.18.1,56974
192.168.18.4,192.168.18.1,56245
192.168.18.4,192.168.18.1,58578
192.168.18.4,192.168.18.1,61724
192.168.18.4,192.168.18.1,61949
192.168.18.4,192.168.18.1,55142
192.168.18.4,192.168.18.1,56458
192.168.18.4,192.168.18.1,51507
192.168.18.4,192.168.18.1,57010
192.168.18.4,192.168.18.1,53503
192.168.18.4,192.168.18.1,65244
192.168.18.4,192.168.18.1,63908
192.168.18.4,192.168.18.1,53238
192.168.18.4,192.168.18.1,62537
192.168.18.4,192.168.18.1,54803
192.168.18.4,192.168.18.1,64248
192.168.18.4,192.168.18.1,59637
192.168.18.4,192.168.18.1,57501
192.168.18.4,192.168.18.1,59116
192.168.18.4,192.168.18.1,64797
192.168.18.4,192.168.18.1,53927
192.168.18.4,3.174.180.75,55088
192.168.18.4,192.168.18.1,49978
192.168.18.4,192.168.18.1,61543
192.168.18.4,192.168.18.1,59140
192.168.18.4,192.168.18.1,50362
192.168.18.4,192.168.18.1,64527
192.168.18.4,192.168.18.1,63031
192.168.18.4,192.168.18.1,61343
192.168.18.4,192.168.18.1,50680
192.168.18.4,192.168.18.1,56785
192.168.18.4,192.168.18.1,49598
192.168.18.4,192.168.18.1,54217
192.168.18.4,192.168.18.1,58644
192.168.18.4,192.168.18.1,55777
192.168.18.4,192.168.18.1,55350
192.168.18.4,192.168.18.1,65514
192.168.18.4,192.168.18.1,59966
192.168.18.4,18.154.29.32,61853
192.168.18.4,192.168.18.1,55382
192.168.18.4,192.168.18.1,62575
192.168.18.4,192.168.18.1,59637
192.168.18.4,192.168.18.1,56049
192.168.18.4,34.107.254.252,58973
192.168.18.4,192.168.18.1,59303
192.168.18.4,192.168.18.1,56760
192.168.18.4,192.168.18.1,64364
192.168.18.4,192.168.18.1,63115
192.168.18.4,192.168.18.1,63115
192.168.18.4,192.168.18.1,51151
192.168.18.4,192.168.18.1,57448
192.168.18.4,192.168.18.1,51780
192.168.18.4,13.107.246.43,57717
192.168.18.4,192.168.18.1,64714
192.168.18.4,192.168.18.1,56223
192.168.18.4,142.251.17.94,60221
192.168.18.4,192.168.18.1,58915
192.168.18.4,192.168.18.1,55476
192.168.18.4,13.107.246.43,49612
192.168.18.4,13.107.213.43,53024
192.168.18.4,104.18.38.236,53025
192.168.18.4,192.168.18.1,64952
192.168.18.4,192.168.18.1,61578
192.168.18.4,192.168.18.1,62376
192.168.18.4,192.168.18.1,53483
192.168.18.4,192.168.18.1,64136
192.168.18.4,192.168.18.1,62897
192.168.18.4,192.168.18.1,50480
192.168.18.4,192.168.18.1,61528
192.168.18.4,18.154.20.154,62804
192.168.18.4,192.168.18.1,63493
192.168.18.4,192.168.18.1,63675
192.168.18.4,192.168.18.1,59715
192.168.18.4,192.168.18.1,54749
192.168.18.4,192.168.18.1,58693
192.168.18.4,192.168.18.1,63815
192.168.18.4,192.168.18.1,57829
192.168.18.4,192.168.18.1,59525
192.168.18.4,192.168.18.1,58977
192.168.18.4,192.168.18.1,64957
192.168.18.4,18.154.56.52,56984
192.168.18.4,192.168.18.1,50363
192.168.18.4,192.168.18.1,51397
192.168.18.4,192.168.18.1,62407
192.168.18.4,192.168.18.1,49557
192.168.18.4,141.94.155.186,63678
192.168.18.4,37.157.5.86,60401
192.168.18.4,192.168.18.1,56471
192.168.18.4,192.168.18.1,50979
192.168.18.4,192.168.18.1,53159
192.168.18.4,192.168.18.1,62058
192.168.18.4,192.168.18.1,57558
192.168.18.4,192.168.18.1,62881
192.168.18.4,192.168.18.1,51374
192.168.18.4,192.168.18.1,61502
192.168.18.4,3.174.180.67,59554
192.168.18.4,192.168.18.1,63329
192.168.18.4,192.168.18.1,64050
192.168.18.4,172.64.149.20,64051
192.168.18.4,192.168.18.1,64144
192.168.18.4,192.168.18.1,59451
192.168.18.4,192.168.18.1,57677
192.168.18.4,192.168.18.1,60743
192.168.18.4,192.168.18.1,65299
192.168.18.4,192.168.18.1,49973
192.168.18.4,192.168.18.1,54929
192.168.18.4,192.168.18.1,55710
192.168.18.4,192.168.18.1,58751
192.168.18.4,192.168.18.1,51613
192.168.18.4,192.168.18.1,51491
192.168.18.4,192.168.18.1,55710
192.168.18.4,192.168.18.1,60282
192.168.18.4,192.168.18.1,58949
192.168.18.4,192.168.18.1,56697
192.168.18.4,192.168.18.1,51456
192.168.18.4,192.168.18.1,52066
192.168.18.4,192.168.18.1,49975
192.168.18.4,216.58.215.150,59211
192.168.18.4,192.168.18.1,50934
192.168.18.4,192.168.18.1,52049
192.168.18.4,192.168.18.1,63523
192.168.18.4,192.168.18.1,63333
192.168.18.4,192.168.18.1,55774
192.168.18.4,192.168.18.1,58334
192.168.18.4,192.168.18.1,60271
192.168.18.4,192.168.18.1,50890
192.168.18.4,192.168.18.1,55713
192.168.18.4,192.168.18.1,56176
192.168.18.4,192.168.18.1,62835
192.168.18.4,192.168.18.1,65256
192.168.18.4,192.168.18.1,56350
192.168.18.4,192.168.18.1,49559
192.168.18.4,192.168.18.1,51462
192.168.18.4,192.168.18.1,60189
192.168.18.4,216.58.215.138,51494
192.168.18.4,192.168.18.1,60339
192.168.18.4,192.168.18.1,55342
192.168.18.4,192.168.18.1,55226
192.168.18.4,192.168.18.1,55559
192.168.18.4,142.251.17.94,65455
192.168.18.4,192.168.18.1,59323
192.168.18.4,192.168.18.1,52571
192.168.18.4,192.168.18.1,56800
192.168.18.4,192.168.18.1,50740
192.168.18.4,192.168.18.1,51816
192.168.18.4,192.168.18.1,55460
192.168.18.4,35.212.207.78,50741
192.168.18.4,151.101.65.91,50746
192.168.18.4,34.160.144.191,50747
192.168.18.4,34.120.208.123,50748
192.168.18.4,192.168.18.1,57925
192.168.18.4,192.168.18.1,54822
192.168.18.4,192.168.18.1,58559
